001  00001 |Loss: 2.309 | Acc: 0.000% 
001  00002 |Loss: 11.173 | Acc: 25.000% 
001  00003 |Loss: 10.116 | Acc: 41.000% 
001  00004 |Loss: 10.253 | Acc: 31.000% 
001  00005 |Loss: 17.963 | Acc: 30.000% 
001  00006 |Loss: 28.257 | Acc: 25.000% 
001  00007 |Loss: 28.227 | Acc: 28.000% 
001  00008 |Loss: 26.253 | Acc: 31.000% 
001  00009 |Loss: 23.808 | Acc: 30.000% 
001  00010 |Loss: 22.349 | Acc: 35.000% 
001  00011 |Loss: 20.643 | Acc: 36.000% 
001  00012 |Loss: 18.923 | Acc: 41.000% 
001  00013 |Loss: 17.550 | Acc: 42.000% 
001  00014 |Loss: 16.330 | Acc: 46.000% 
001  00015 |Loss: 20.430 | Acc: 46.000% 
001  00016 |Loss: 19.203 | Acc: 48.000% 
001  00017 |Loss: 21.090 | Acc: 48.000% 
001  00018 |Loss: 22.159 | Acc: 45.000% 
001  00019 |Loss: 21.976 | Acc: 44.000% 
001  00020 |Loss: 21.276 | Acc: 46.000% 
001  00021 |Loss: 20.319 | Acc: 46.000% 
001  00022 |Loss: 19.412 | Acc: 48.000% 
001  00023 |Loss: 18.652 | Acc: 50.000% 
001  00024 |Loss: 17.883 | Acc: 52.000% 
001  00025 |Loss: 17.393 | Acc: 52.000% 
001  00026 |Loss: 16.925 | Acc: 50.000% 
001  00027 |Loss: 16.402 | Acc: 49.000% 
001  00028 |Loss: 15.952 | Acc: 47.000% 
001  00029 |Loss: 15.466 | Acc: 46.000% 
001  00030 |Loss: 14.969 | Acc: 48.000% 
001  00031 |Loss: 14.516 | Acc: 49.000% 
001  00032 |Loss: 14.130 | Acc: 49.000% 
001  00033 |Loss: 13.703 | Acc: 50.000% 
001  00034 |Loss: 13.339 | Acc: 51.000% 
001  00035 |Loss: 13.058 | Acc: 50.000% 
001  00036 |Loss: 12.698 | Acc: 52.000% 
001  00037 |Loss: 12.357 | Acc: 53.000% 
001  00038 |Loss: 12.078 | Acc: 53.000% 
001  00039 |Loss: 11.809 | Acc: 52.000% 
001  00040 |Loss: 11.531 | Acc: 53.000% 
001  00041 |Loss: 11.287 | Acc: 52.000% 
001  00042 |Loss: 11.026 | Acc: 53.000% 
001  00043 |Loss: 10.785 | Acc: 54.000% 
001  00044 |Loss: 10.549 | Acc: 55.000% 
001  00045 |Loss: 10.324 | Acc: 55.000% 
001  00046 |Loss: 10.113 | Acc: 55.000% 
001  00047 |Loss: 9.911 | Acc: 54.000% 
001  00048 |Loss: 9.717 | Acc: 54.000% 
001  00049 |Loss: 9.527 | Acc: 55.000% 
001  00050 |Loss: 9.346 | Acc: 55.000% 
001  00051 |Loss: 9.174 | Acc: 55.000% 
001  00052 |Loss: 8.999 | Acc: 56.000% 
001  00053 |Loss: 8.836 | Acc: 57.000% 
001  00054 |Loss: 8.751 | Acc: 56.000% 
001  00055 |Loss: 8.639 | Acc: 55.000% 
001  00056 |Loss: 8.494 | Acc: 56.000% 
001  00057 |Loss: 8.355 | Acc: 56.000% 
001  00058 |Loss: 8.217 | Acc: 57.000% 
001  00059 |Loss: 8.103 | Acc: 56.000% 
001  00060 |Loss: 7.982 | Acc: 56.000% 
001  00061 |Loss: 7.862 | Acc: 56.000% 
001  00062 |Loss: 7.749 | Acc: 56.000% 
001  00063 |Loss: 7.634 | Acc: 56.000% 
001  00064 |Loss: 7.525 | Acc: 57.000% 
001  00065 |Loss: 7.417 | Acc: 57.000% 
001  00066 |Loss: 7.318 | Acc: 57.000% 
001  00067 |Loss: 7.216 | Acc: 57.000% 
001  00068 |Loss: 7.117 | Acc: 57.000% 
001  00069 |Loss: 7.025 | Acc: 57.000% 
001  00070 |Loss: 6.939 | Acc: 58.000% 
001  00071 |Loss: 6.853 | Acc: 58.000% 
001  00072 |Loss: 6.775 | Acc: 57.000% 
001  00073 |Loss: 6.695 | Acc: 57.000% 
001  00074 |Loss: 6.617 | Acc: 57.000% 
001  00075 |Loss: 6.537 | Acc: 57.000% 
001  00076 |Loss: 6.457 | Acc: 57.000% 
001  00077 |Loss: 6.380 | Acc: 57.000% 
001  00078 |Loss: 6.310 | Acc: 56.000% 
001  00079 |Loss: 6.237 | Acc: 56.000% 
001  00080 |Loss: 6.168 | Acc: 56.000% 
001  00081 |Loss: 6.098 | Acc: 57.000% 
001  00082 |Loss: 6.031 | Acc: 57.000% 
001  00083 |Loss: 5.971 | Acc: 56.000% 
001  00084 |Loss: 5.914 | Acc: 56.000% 
001  00085 |Loss: 5.860 | Acc: 56.000% 
001  00086 |Loss: 5.798 | Acc: 56.000% 
001  00087 |Loss: 5.739 | Acc: 56.000% 
001  00088 |Loss: 5.683 | Acc: 56.000% 
001  00089 |Loss: 5.633 | Acc: 55.000% 
001  00090 |Loss: 5.580 | Acc: 55.000% 
001  00091 |Loss: 5.524 | Acc: 55.000% 
001  00092 |Loss: 5.473 | Acc: 55.000% 
001  00093 |Loss: 5.422 | Acc: 55.000% 
001  00094 |Loss: 5.375 | Acc: 55.000% 
001  00095 |Loss: 5.320 | Acc: 56.000% 
001  00096 |Loss: 5.282 | Acc: 55.000% 
001  00097 |Loss: 5.235 | Acc: 56.000% 
001  00098 |Loss: 5.198 | Acc: 55.000% 
001  00099 |Loss: 5.160 | Acc: 55.000% 
001  00100 |Loss: 5.124 | Acc: 55.000% 
001  00101 |Loss: 5.079 | Acc: 55.000% 
001  00102 |Loss: 5.038 | Acc: 55.000% 
001  00103 |Loss: 4.997 | Acc: 55.000% 
001  00104 |Loss: 4.955 | Acc: 55.000% 
001  00105 |Loss: 4.916 | Acc: 55.000% 
001  00106 |Loss: 4.879 | Acc: 55.000% 
001  00107 |Loss: 4.842 | Acc: 55.000% 
001  00108 |Loss: 4.807 | Acc: 55.000% 
001  00109 |Loss: 4.779 | Acc: 54.000% 
001  00110 |Loss: 4.747 | Acc: 54.000% 
001  00111 |Loss: 4.712 | Acc: 54.000% 
001  00112 |Loss: 4.676 | Acc: 53.000% 
001  00113 |Loss: 4.642 | Acc: 53.000% 
001  00114 |Loss: 4.608 | Acc: 53.000% 
001  00115 |Loss: 4.572 | Acc: 54.000% 
001  00116 |Loss: 4.540 | Acc: 54.000% 
001  00117 |Loss: 4.503 | Acc: 54.000% 
001  00118 |Loss: 4.467 | Acc: 54.000% 
001  00119 |Loss: 4.439 | Acc: 54.000% 
001  00120 |Loss: 4.410 | Acc: 54.000% 
001  00121 |Loss: 4.384 | Acc: 54.000% 
001  00122 |Loss: 4.357 | Acc: 54.000% 
001  00123 |Loss: 4.323 | Acc: 55.000% 
001  00124 |Loss: 4.292 | Acc: 55.000% 
001  00125 |Loss: 4.262 | Acc: 55.000% 
001  00126 |Loss: 4.235 | Acc: 55.000% 
001  00127 |Loss: 4.208 | Acc: 55.000% 
001  00128 |Loss: 4.182 | Acc: 55.000% 
001  00129 |Loss: 4.156 | Acc: 55.000% 
001  00130 |Loss: 4.129 | Acc: 55.000% 
001  00131 |Loss: 4.100 | Acc: 55.000% 
001  00132 |Loss: 4.076 | Acc: 55.000% 
001  00133 |Loss: 4.051 | Acc: 55.000% 
001  00134 |Loss: 4.027 | Acc: 55.000% 
001  00135 |Loss: 4.002 | Acc: 55.000% 
001  00136 |Loss: 3.975 | Acc: 56.000% 
001  00137 |Loss: 3.951 | Acc: 56.000% 
001  00138 |Loss: 3.926 | Acc: 56.000% 
001  00139 |Loss: 3.901 | Acc: 56.000% 
001  00140 |Loss: 3.877 | Acc: 56.000% 
001  00141 |Loss: 3.855 | Acc: 56.000% 
001  00142 |Loss: 3.836 | Acc: 56.000% 
001  00143 |Loss: 3.814 | Acc: 56.000% 
001  00144 |Loss: 3.790 | Acc: 56.000% 
001  00145 |Loss: 3.769 | Acc: 56.000% 
001  00146 |Loss: 3.747 | Acc: 56.000% 
001  00147 |Loss: 3.726 | Acc: 56.000% 
001  00148 |Loss: 3.703 | Acc: 57.000% 
001  00149 |Loss: 3.681 | Acc: 57.000% 
001  00150 |Loss: 3.660 | Acc: 57.000% 
001  00151 |Loss: 3.641 | Acc: 57.000% 
001  00152 |Loss: 3.622 | Acc: 57.000% 
001  00153 |Loss: 3.605 | Acc: 57.000% 
001  00154 |Loss: 3.587 | Acc: 57.000% 
001  00155 |Loss: 3.567 | Acc: 57.000% 
001  00156 |Loss: 3.546 | Acc: 57.000% 
001  00157 |Loss: 3.528 | Acc: 57.000% 
001  00158 |Loss: 3.508 | Acc: 57.000% 
001  00159 |Loss: 3.490 | Acc: 57.000% 
001  00160 |Loss: 3.471 | Acc: 57.000% 
001  00161 |Loss: 3.454 | Acc: 57.000% 
001  00162 |Loss: 3.434 | Acc: 58.000% 
001  00163 |Loss: 3.417 | Acc: 58.000% 
001  00164 |Loss: 3.401 | Acc: 58.000% 
001  00165 |Loss: 3.382 | Acc: 58.000% 
001  00166 |Loss: 3.364 | Acc: 58.000% 
001  00167 |Loss: 3.346 | Acc: 58.000% 
001  00168 |Loss: 3.328 | Acc: 59.000% 
001  00169 |Loss: 3.310 | Acc: 59.000% 
001  00170 |Loss: 3.295 | Acc: 59.000% 
001  00171 |Loss: 3.277 | Acc: 59.000% 
001  00172 |Loss: 3.267 | Acc: 59.000% 
001  00173 |Loss: 3.254 | Acc: 58.000% 
001  00174 |Loss: 3.239 | Acc: 59.000% 
001  00175 |Loss: 3.222 | Acc: 59.000% 
001  00176 |Loss: 3.205 | Acc: 59.000% 
001  00177 |Loss: 3.189 | Acc: 59.000% 
001  00178 |Loss: 3.174 | Acc: 59.000% 
001  00179 |Loss: 3.160 | Acc: 59.000% 
001  00180 |Loss: 3.143 | Acc: 60.000% 
001  00181 |Loss: 3.130 | Acc: 59.000% 
001  00182 |Loss: 3.119 | Acc: 59.000% 
001  00183 |Loss: 3.103 | Acc: 60.000% 
001  00184 |Loss: 3.089 | Acc: 60.000% 
001  00185 |Loss: 3.075 | Acc: 60.000% 
001  00186 |Loss: 3.065 | Acc: 60.000% 
001  00187 |Loss: 3.054 | Acc: 59.000% 
001  00188 |Loss: 3.039 | Acc: 60.000% 
001  00189 |Loss: 3.026 | Acc: 60.000% 
001  00190 |Loss: 3.013 | Acc: 60.000% 
001  00191 |Loss: 3.003 | Acc: 60.000% 
001  00192 |Loss: 2.990 | Acc: 60.000% 
001  00193 |Loss: 2.979 | Acc: 60.000% 
001  00194 |Loss: 2.966 | Acc: 60.000% 
001  00195 |Loss: 2.954 | Acc: 60.000% 
001  00196 |Loss: 2.944 | Acc: 60.000% 
001  00197 |Loss: 2.933 | Acc: 60.000% 
001  00198 |Loss: 2.920 | Acc: 60.000% 
001  00199 |Loss: 2.908 | Acc: 60.000% 
001  00200 |Loss: 2.896 | Acc: 60.000% 
001  00201 |Loss: 2.885 | Acc: 60.000% 
001  00202 |Loss: 2.873 | Acc: 60.000% 
001  00203 |Loss: 2.863 | Acc: 60.000% 
001  00204 |Loss: 2.852 | Acc: 60.000% 
001  00205 |Loss: 2.841 | Acc: 60.000% 
001  00206 |Loss: 2.831 | Acc: 60.000% 
001  00207 |Loss: 2.822 | Acc: 60.000% 
001  00208 |Loss: 2.812 | Acc: 60.000% 
001  00209 |Loss: 2.801 | Acc: 60.000% 
001  00210 |Loss: 2.790 | Acc: 60.000% 
001  00211 |Loss: 2.779 | Acc: 61.000% 
001  00212 |Loss: 2.771 | Acc: 61.000% 
001  00213 |Loss: 2.761 | Acc: 61.000% 
001  00214 |Loss: 2.751 | Acc: 61.000% 
001  00215 |Loss: 2.741 | Acc: 61.000% 
001  00216 |Loss: 2.732 | Acc: 61.000% 
001  00217 |Loss: 2.727 | Acc: 60.000% 
001  00218 |Loss: 2.718 | Acc: 60.000% 
001  00219 |Loss: 2.707 | Acc: 60.000% 
001  00220 |Loss: 2.699 | Acc: 60.000% 
001  00221 |Loss: 2.692 | Acc: 60.000% 
001  00222 |Loss: 2.682 | Acc: 60.000% 
001  00223 |Loss: 2.674 | Acc: 60.000% 
001  00224 |Loss: 2.663 | Acc: 60.000% 
001  00225 |Loss: 2.654 | Acc: 61.000% 
001  00226 |Loss: 2.646 | Acc: 60.000% 
001  00227 |Loss: 2.637 | Acc: 61.000% 
001  00228 |Loss: 2.628 | Acc: 60.000% 
001  00229 |Loss: 2.619 | Acc: 61.000% 
001  00230 |Loss: 2.611 | Acc: 60.000% 
001  00231 |Loss: 2.602 | Acc: 61.000% 
001  00232 |Loss: 2.595 | Acc: 60.000% 
001  00233 |Loss: 2.587 | Acc: 60.000% 
001  00234 |Loss: 2.578 | Acc: 61.000% 
001  00235 |Loss: 2.571 | Acc: 61.000% 
001  00236 |Loss: 2.563 | Acc: 61.000% 
001  00237 |Loss: 2.555 | Acc: 61.000% 
001  00238 |Loss: 2.548 | Acc: 60.000% 
001  00239 |Loss: 2.539 | Acc: 61.000% 
001  00240 |Loss: 2.531 | Acc: 61.000% 
001  00241 |Loss: 2.523 | Acc: 60.000% 
001  00242 |Loss: 2.516 | Acc: 60.000% 
001  00243 |Loss: 2.509 | Acc: 60.000% 
001  00244 |Loss: 2.501 | Acc: 60.000% 
001  00245 |Loss: 2.494 | Acc: 60.000% 
001  00246 |Loss: 2.487 | Acc: 60.000% 
001  00247 |Loss: 2.480 | Acc: 60.000% 
001  00248 |Loss: 2.472 | Acc: 60.000% 
001  00249 |Loss: 2.464 | Acc: 60.000% 
001  00250 |Loss: 2.458 | Acc: 60.000% 
001  00251 |Loss: 2.450 | Acc: 60.000% 
001  00252 |Loss: 2.442 | Acc: 60.000% 
001  00253 |Loss: 2.434 | Acc: 60.000% 
001  00254 |Loss: 2.427 | Acc: 60.000% 
001  00255 |Loss: 2.419 | Acc: 60.000% 
001  00256 |Loss: 2.412 | Acc: 60.000% 
001  00257 |Loss: 2.403 | Acc: 60.000% 
001  00258 |Loss: 2.398 | Acc: 60.000% 
001  00259 |Loss: 2.390 | Acc: 61.000% 
001  00260 |Loss: 2.383 | Acc: 61.000% 
001  00261 |Loss: 2.378 | Acc: 61.000% 
001  00262 |Loss: 2.375 | Acc: 60.000% 
001  00263 |Loss: 2.371 | Acc: 60.000% 
001  00264 |Loss: 2.363 | Acc: 60.000% 
001  00265 |Loss: 2.358 | Acc: 60.000% 
001  00266 |Loss: 2.352 | Acc: 60.000% 
001  00267 |Loss: 2.346 | Acc: 60.000% 
001  00268 |Loss: 2.340 | Acc: 60.000% 
001  00269 |Loss: 2.334 | Acc: 60.000% 
001  00270 |Loss: 2.330 | Acc: 60.000% 
001  00271 |Loss: 2.324 | Acc: 60.000% 
